epoch,step,ppl,loss,lr,route_ent,exp_sim,gate_avg,grad_norm,conv_rate,aux_loss,cap_rate,gate_ratio
1,400,3650.2,8.10,1.00e-04,1.1081,0.4350,0.4959,2.4703,0.0000,0.517633,0.0078,3.3181
1,600,3537.3,8.17,1.00e-04,1.2705,0.4239,0.4959,3.0223,0.0000,0.521423,0.0234,3.1287
1,800,3454.7,8.05,1.00e-04,1.1309,0.4305,0.4958,2.5085,0.0000,0.512235,0.0312,3.6420
1,1000,3411.7,8.08,1.00e-04,1.0587,0.4356,0.4958,2.4055,0.0000,0.516329,0.0391,3.8251
1,1200,3368.0,8.24,1.00e-04,1.1953,0.4285,0.4958,3.2060,0.0000,0.506866,0.0000,3.8044
1,1400,3327.9,7.93,1.00e-04,0.9862,0.4302,0.4958,2.5596,0.0000,0.515065,0.0156,3.9360
1,1600,3296.8,8.00,1.00e-04,0.9776,0.4360,0.4958,2.5191,0.0000,0.508961,0.0547,4.0502
1,1800,3256.8,8.01,1.00e-04,1.2401,0.4348,0.4958,2.7345,0.0000,0.511929,0.0312,3.7237
1,2000,3221.1,7.99,1.00e-04,1.1418,0.4316,0.4959,2.7316,0.0000,0.512510,0.0391,3.8236
1,2200,3333.3,8.41,1.00e-04,1.1220,0.4815,0.4960,1.1188,0.0000,0.503369,0.0547,4.2257
1,2400,3430.4,8.54,1.00e-04,1.1490,0.4764,0.4961,1.0691,0.0000,0.496087,0.0469,5.3576
1,200,3373.6,8.10,1.00e-04,1.1422,0.4621,0.4959,2.5066,0.0000,0.514761,0.0781,4.0629
1,400,3230.5,7.92,1.00e-04,0.9087,0.4413,0.4959,2.4379,0.0000,0.508568,0.0469,4.7927
1,600,3107.1,8.06,1.00e-04,1.2442,0.4243,0.4959,3.1688,0.0000,0.509592,0.0625,4.8335
1,800,2990.4,7.87,1.00e-04,1.0829,0.4417,0.4960,2.7288,0.0000,0.510782,0.0859,5.3392
1,1000,2907.1,7.87,1.00e-04,0.9261,0.4429,0.4960,2.8395,0.0000,0.512951,0.0859,5.9005
1,1200,2842.9,8.07,1.00e-04,1.1423,0.4418,0.4961,3.8011,0.0000,0.500738,0.0156,5.9940
1,1400,2795.8,7.76,1.00e-04,0.9140,0.4496,0.4961,2.8273,0.0000,0.502591,0.0781,6.0282
1,1600,2763.6,7.83,1.00e-04,0.9530,0.4712,0.4962,3.2427,0.0000,0.507525,0.1016,7.4786
